Object,X,Y,Z,Time
Sun,    7.6399E+06,    3.6735E+05,    0.0000E+00,            8580000.
Jupiter,    7.7060E+11,    1.1201E+11,    0.0000E+00,            8580000.
Sun,    7.7470E+06,    3.7511E+05,    0.0000E+00,            8640000.
Jupiter,    7.7048E+11,    1.1279E+11,    0.0000E+00,            8640000.
Sun,    7.8548E+06,    3.8298E+05,    0.0000E+00,            8700000.
Jupiter,    7.7037E+11,    1.1357E+11,    0.0000E+00,            8700000.
Sun,    7.9634E+06,    3.9096E+05,    0.0000E+00,            8760000.
Jupiter,    7.7026E+11,    1.1435E+11,    0.0000E+00,            8760000.
Sun,    8.0727E+06,    3.9905E+05,    0.0000E+00,            8820000.
Jupiter,    7.7014E+11,    1.1512E+11,    0.0000E+00,            8820000.
Sun,    8.1827E+06,    4.0725E+05,    0.0000E+00,            8880000.
Jupiter,    7.7003E+11,    1.1590E+11,    0.0000E+00,            8880000.
Sun,    8.2935E+06,    4.1556E+05,    0.0000E+00,            8940000.
Jupiter,    7.6991E+11,    1.1668E+11,    0.0000E+00,            8940000.
Sun,    8.4050E+06,    4.2398E+05,    0.0000E+00,            9000000.
Jupiter,    7.6979E+11,    1.1746E+11,    0.0000E+00,            9000000.
Sun,    8.5173E+06,    4.3251E+05,    0.0000E+00,            9060000.
Jupiter,    7.6968E+11,    1.1823E+11,    0.0000E+00,            9060000.
Sun,    8.6302E+06,    4.4116E+05,    0.0000E+00,            9120000.
Jupiter,    7.6956E+11,    1.1901E+11,    0.0000E+00,            9120000.
Sun,    8.7440E+06,    4.4992E+05,    0.0000E+00,            9180000.
Jupiter,    7.6944E+11,    1.1979E+11,    0.0000E+00,            9180000.
Sun,    8.8585E+06,    4.5880E+05,    0.0000E+00,            9240000.
Jupiter,    7.6932E+11,    1.2056E+11,    0.0000E+00,            9240000.
Sun,    8.9737E+06,    4.6780E+05,    0.0000E+00,            9300000.
Jupiter,    7.6920E+11,    1.2134E+11,    0.0000E+00,            9300000.
Sun,    9.0896E+06,    4.7691E+05,    0.0000E+00,            9360000.
Jupiter,    7.6908E+11,    1.2212E+11,    0.0000E+00,            9360000.
Sun,    9.2063E+06,    4.8613E+05,    0.0000E+00,            9420000.
Jupiter,    7.6896E+11,    1.2289E+11,    0.0000E+00,            9420000.
Sun,    9.3238E+06,    4.9548E+05,    0.0000E+00,            9480000.
Jupiter,    7.6883E+11,    1.2367E+11,    0.0000E+00,            9480000.
Sun,    9.4419E+06,    5.0494E+05,    0.0000E+00,            9540000.
Jupiter,    7.6871E+11,    1.2445E+11,    0.0000E+00,            9540000.
Sun,    9.5608E+06,    5.1453E+05,    0.0000E+00,            9600000.
Jupiter,    7.6858E+11,    1.2522E+11,    0.0000E+00,            9600000.
Sun,    9.6805E+06,    5.2423E+05,    0.0000E+00,            9660000.
Jupiter,    7.6846E+11,    1.2600E+11,    0.0000E+00,            9660000.
Sun,    9.8009E+06,    5.3406E+05,    0.0000E+00,            9720000.
Jupiter,    7.6833E+11,    1.2677E+11,    0.0000E+00,            9720000.
Sun,    9.9220E+06,    5.4401E+05,    0.0000E+00,            9780000.
Jupiter,    7.6821E+11,    1.2755E+11,    0.0000E+00,            9780000.
Sun,    1.0044E+07,    5.5408E+05,    0.0000E+00,            9840000.
Jupiter,    7.6808E+11,    1.2832E+11,    0.0000E+00,            9840000.
Sun,    1.0166E+07,    5.6427E+05,    0.0000E+00,            9900000.
Jupiter,    7.6795E+11,    1.2910E+11,    0.0000E+00,            9900000.
Sun,    1.0290E+07,    5.7459E+05,    0.0000E+00,            9960000.
Jupiter,    7.6782E+11,    1.2987E+11,    0.0000E+00,            9960000.
Sun,    1.0414E+07,    5.8503E+05,    0.0000E+00,           10020000.
Jupiter,    7.6769E+11,    1.3065E+11,    0.0000E+00,           10020000.
Sun,    1.0539E+07,    5.9560E+05,    0.0000E+00,           10080000.
Jupiter,    7.6756E+11,    1.3142E+11,    0.0000E+00,           10080000.
Sun,    1.0664E+07,    6.0629E+05,    0.0000E+00,           10140000.
Jupiter,    7.6743E+11,    1.3220E+11,    0.0000E+00,           10140000.
Sun,    1.0791E+07,    6.1711E+05,    0.0000E+00,           10200000.
Jupiter,    7.6730E+11,    1.3297E+11,    0.0000E+00,           10200000.
Sun,    1.0918E+07,    6.2806E+05,    0.0000E+00,           10260000.
Jupiter,    7.6716E+11,    1.3375E+11,    0.0000E+00,           10260000.
Sun,    1.1045E+07,    6.3914E+05,    0.0000E+00,           10320000.
Jupiter,    7.6703E+11,    1.3452E+11,    0.0000E+00,           10320000.
Sun,    1.1174E+07,    6.5035E+05,    0.0000E+00,           10380000.
Jupiter,    7.6689E+11,    1.3530E+11,    0.0000E+00,           10380000.
Sun,    1.1303E+07,    6.6168E+05,    0.0000E+00,           10440000.
Jupiter,    7.6676E+11,    1.3607E+11,    0.0000E+00,           10440000.
Sun,    1.1433E+07,    6.7315E+05,    0.0000E+00,           10500000.
Jupiter,    7.6662E+11,    1.3684E+11,    0.0000E+00,           10500000.
